total_protein,total_keratine,hair_texture,vitamin,manganese,iron,calcium,body_water_content,stress_level,liver_data,hair_fall
306,462,44,71,25,441,98,77,4,91,4
80,308,78,318,197,21,283,25,54,98,3
72,466,80,130,407,455,348,78,23,473,1
143,1,74,199,1,432,395,79,54,192,3
105,456,95,484,452,369,446,61,94,102,3
216,201,62,403,168,347,373,78,46,264,2
401,336,48,41,15,51,273,74,72,203,0
288,111,43,23,108,43,186,27,41,123,5
382,185,86,71,208,245,243,62,31,6,3
205,101,95,310,165,330,197,79,39,497,1
300,239,81,387,128,374,401,46,36,269,1
429,317,48,30,81,429,219,57,71,129,3
110,84,98,54,11,278,108,54,45,395,2
490,424,91,305,14,372,95,81,23,238,3
220,204,81,378,184,424,352,31,74,456,5
260,80,49,111,26,263,264,67,44,419,0
310,48,9,146,71,178,103,51,58,318,2
1,55,7,70,202,123,12,30,6,65,1
424,63,89,478,384,71,97,17,93,1,1
236,120,46,117,438,68,386,40,52,477,4
140,269,82,343,199,384,1,88,50,438,1
127,207,54,73,83,379,323,3,20,171,0
271,3,41,128,305,114,458,35,51,384,0
283,389,43,453,177,377,77,89,83,392,5
152,123,9,4,248,383,23,78,9,291,3
92,206,45,474,7,124,187,9,68,183,1
335,310,33,283,38,488,478,28,60,230,1
302,13,77,162,145,401,60,85,35,297,2
101,0,1,29,199,165,373,15,68,26,2
3,181,96,492,387,122,258,6,54,379,5
259,296,81,50,243,333,439,87,14,391,5
401,353,25,277,461,16,487,0,89,298,3
430,366,81,145,441,229,22,77,68,400,5
157,425,16,373,127,268,332,78,48,196,1
112,266,47,178,239,145,366,61,61,300,4
114,5,29,68,381,58,225,12,5,300,1
64,378,82,239,477,254,41,36,29,326,5
430,83,96,75,383,459,457,31,34,482,2
123,422,9,292,161,311,77,80,48,120,4
395,396,8,134,413,213,77,61,46,276,1
136,409,15,317,46,243,418,25,70,317,5
131,487,57,305,210,155,123,32,69,324,3
384,224,58,135,270,481,451,49,4,231,3
154,351,10,146,209,263,57,15,89,229,4
380,15,60,371,488,218,492,13,13,300,2
457,56,52,432,22,90,486,43,12,496,2
343,410,13,158,68,148,390,41,15,184,4
213,386,98,458,13,480,421,71,9,323,5
37,320,52,31,479,259,14,74,96,75,2
20,329,29,312,38,388,103,72,73,313,0
405,1,36,106,467,422,318,25,2,262,0
261,168,30,492,167,380,37,67,31,350,3
260,149,29,312,403,256,188,88,95,499,0
484,432,69,52,332,328,77,68,23,464,5
218,432,89,52,465,145,408,66,31,6,1
399,253,61,37,252,320,473,47,15,478,2
390,238,33,153,110,259,128,0,20,364,5
95,188,55,406,251,260,460,53,46,443,5
98,459,94,266,386,420,419,66,97,156,0
466,138,56,206,317,33,178,96,43,100,1
208,35,37,275,264,3,162,39,69,239,3
320,52,96,283,254,408,304,37,34,389,4
203,412,68,310,285,255,171,55,19,199,0
497,154,34,494,363,311,319,64,54,283,4
206,487,43,395,289,329,160,15,7,493,4
476,76,40,59,205,48,491,70,74,112,1
191,160,69,425,93,111,95,19,89,297,3
481,62,43,227,396,458,420,43,7,80,2
0,364,70,93,166,195,146,51,94,204,3
195,441,16,339,461,252,49,54,83,496,3
33,304,41,458,382,350,436,85,35,366,4
264,460,82,390,319,437,59,6,63,12,3
41,469,71,479,312,25,463,15,48,291,5
101,147,60,5,193,246,123,63,50,13,4
80,419,16,444,467,421,485,71,78,108,2
316,404,78,154,431,376,117,12,29,258,2
207,333,59,419,92,442,495,80,97,435,3
377,452,61,317,295,162,60,2,31,459,5
298,365,75,44,93,138,183,96,30,287,4
104,38,4,27,220,219,126,72,99,169,5
286,244,31,141,199,384,258,15,72,430,3
270,42,97,413,159,376,491,3,32,56,4
469,94,1,206,429,268,252,43,56,480,4
42,25,98,415,365,224,41,80,57,402,0
434,57,44,358,428,37,45,24,27,310,5
411,360,40,496,139,406,313,81,76,77,2
191,475,89,30,284,158,304,0,63,100,3
158,204,74,174,339,405,58,91,29,147,4
395,408,9,78,347,241,81,74,51,136,5
320,64,84,162,184,485,385,91,78,362,5
84,20,16,30,96,128,327,79,43,409,5
14,378,10,70,165,327,439,83,73,440,0
308,193,61,67,397,110,474,45,37,6,2
324,441,34,481,287,251,191,12,56,464,1
42,355,94,447,63,298,460,86,1,161,0
455,235,89,290,253,324,260,59,68,280,0
354,204,58,166,273,410,98,89,51,78,4
346,146,32,342,298,377,80,56,68,50,1
227,486,23,52,88,204,245,27,24,253,5
246,240,75,247,228,499,122,92,93,22,1
183,98,76,13,474,417,14,14,89,63,0
37,298,47,86,283,166,410,26,27,428,0
330,35,32,391,190,130,255,98,17,383,3
8,43,10,21,476,387,111,24,11,316,0
160,155,55,473,314,284,69,79,21,84,2
387,203,31,75,482,286,269,87,20,343,0
406,265,51,483,442,440,178,5,99,391,0
132,35,87,204,253,362,293,16,56,103,4
83,229,67,334,193,289,390,23,56,298,5
29,419,76,136,32,345,184,41,96,439,4
47,252,90,382,2,116,480,39,78,227,0
248,385,6,182,224,414,58,20,84,329,5
24,428,64,128,335,124,230,71,63,282,0
412,135,18,304,181,267,368,52,39,239,1
232,442,8,418,472,490,328,77,19,371,1
296,180,62,258,341,19,333,95,63,233,4
62,371,52,111,301,190,186,17,47,448,1
132,97,93,408,351,334,490,94,5,102,1
208,496,26,248,83,459,268,10,67,199,3
361,482,15,351,100,484,435,19,9,403,1
346,407,34,451,169,470,14,46,26,170,3
259,333,55,339,390,36,166,14,14,118,1
423,473,15,451,285,76,350,79,45,267,0
180,414,49,333,338,395,2,45,70,211,1
213,146,51,70,140,88,143,47,19,317,2
434,60,20,177,435,245,128,0,42,59,5
113,219,32,248,182,220,384,53,49,174,4
144,189,10,412,359,312,33,57,93,406,2
184,226,37,79,221,256,407,25,63,27,4
61,196,89,67,119,298,292,99,36,35,1
194,195,65,50,480,141,171,95,36,103,2
4,381,99,53,43,177,55,17,12,172,2
486,287,43,475,444,394,413,30,0,380,2
168,316,91,5,89,359,498,79,42,236,2
108,411,76,416,140,238,68,70,48,311,2
199,247,29,406,180,491,436,69,74,223,2
461,8,31,155,178,117,446,26,31,246,0
156,25,58,171,60,377,268,71,52,358,5
404,267,64,380,258,27,394,61,97,281,3
202,426,64,339,78,76,194,15,74,376,3
432,399,75,388,478,460,176,6,15,200,5
277,203,58,84,299,36,85,50,27,340,3
0,422,8,29,0,56,210,53,86,255,2
153,30,22,375,379,272,491,94,11,180,0
434,156,9,234,335,73,462,95,40,324,0
60,48,53,419,145,323,108,13,31,464,5
54,223,15,319,175,109,62,7,1,457,2
165,40,68,313,321,412,301,16,23,130,1
308,234,6,176,434,189,347,13,63,323,0
250,329,97,380,426,58,468,36,60,427,3
232,306,65,238,233,88,437,2,53,251,0
77,407,36,357,87,441,492,47,68,68,4
207,208,90,206,262,227,304,13,81,32,3
491,433,44,73,476,265,348,9,36,450,0
370,249,67,385,498,466,140,58,68,269,3
137,114,99,215,265,413,212,52,52,392,3
178,47,91,231,493,416,395,94,28,334,4
204,299,29,382,67,276,303,75,79,444,3
106,480,55,333,161,285,376,87,19,435,2
445,498,16,114,404,304,145,60,21,359,2
380,498,17,483,490,470,157,26,69,311,4
441,18,80,388,229,287,133,6,84,434,5
14,103,58,191,211,62,374,0,70,340,4
415,472,3,46,1,192,451,66,70,316,2
455,280,79,15,359,172,287,79,35,255,2
308,18,1,435,194,151,438,33,64,280,5
426,422,33,436,215,240,479,20,53,389,0
240,421,95,443,158,437,408,57,52,341,0
359,311,66,369,356,14,485,18,15,300,5
299,288,92,437,206,22,158,52,99,24,1
122,458,46,73,95,41,164,6,97,401,0
359,298,93,417,34,243,103,67,43,456,3
241,83,25,22,83,377,74,31,3,256,2
313,263,84,201,126,213,73,17,88,235,1
373,430,34,245,247,316,0,97,78,475,1
196,270,62,131,196,149,461,14,93,422,0
402,298,2,333,87,411,55,56,90,20,0
377,214,51,481,62,387,143,99,81,310,5
274,36,32,434,87,81,308,87,78,320,2
498,299,96,279,109,203,11,18,35,354,0
146,353,29,476,145,250,379,83,32,113,0
266,466,48,381,496,405,318,72,3,301,2
149,408,5,425,442,183,386,21,86,233,1
60,350,81,87,343,275,304,71,29,119,1
103,203,16,191,234,93,43,8,54,158,1
216,275,28,222,393,92,404,16,4,97,1
384,400,26,383,326,233,408,65,27,307,4
237,320,31,215,5,153,296,75,19,27,1
291,422,51,282,234,452,418,59,46,67,3
489,364,11,6,292,376,403,16,60,337,2
262,376,34,146,186,151,324,91,43,1,1
420,262,40,232,324,135,138,92,5,210,4
361,57,33,341,35,163,219,9,9,491,1
236,268,42,407,328,12,289,74,15,284,5
199,145,23,425,485,263,40,16,41,322,0
245,201,56,359,55,279,445,37,93,444,2
344,436,45,431,294,325,85,47,74,458,4
267,69,15,164,56,381,377,80,32,469,4
225,201,5,81,211,460,142,48,74,372,4
418,495,83,142,278,6,139,79,84,322,5
229,196,65,18,138,317,55,1,61,17,0
52,358,42,477,431,100,315,91,79,23,2
29,396,30,41,23,369,303,63,68,163,4
103,319,28,71,378,482,370,49,5,205,1
62,218,11,250,250,82,422,1,99,472,2
38,317,75,87,403,35,278,9,0,488,3
244,254,32,490,111,459,260,92,85,483,1
120,8,12,403,20,483,52,46,98,280,3
149,200,31,239,61,443,157,76,85,449,5
232,180,24,160,73,36,309,48,10,210,0
446,381,40,55,180,69,239,68,65,412,1
392,139,96,155,429,160,77,50,75,382,2
444,409,85,36,356,94,275,94,0,126,1
300,324,27,408,449,122,90,86,48,309,2
379,24,64,169,368,80,276,53,22,434,5
463,87,53,366,440,387,23,71,44,24,1
116,499,89,86,260,36,194,14,9,168,0
386,45,9,154,395,219,373,72,72,304,1
186,342,93,174,385,333,402,59,40,120,5
219,191,29,48,314,253,284,5,39,257,0
311,494,81,183,83,247,477,75,28,56,3
456,15,95,172,103,215,226,56,60,24,2
431,387,57,263,107,65,102,28,44,205,4
8,333,15,450,214,340,269,91,0,9,4
469,378,31,49,142,419,151,4,70,323,2
337,247,76,69,187,188,51,98,66,415,3
309,294,93,235,474,249,348,6,97,314,4
343,194,37,214,116,187,130,8,17,33,1
403,9,46,348,34,190,66,43,27,93,2
312,118,70,163,410,16,427,39,22,382,1
220,119,63,350,483,70,173,10,51,381,3
289,426,5,160,238,75,497,82,91,154,3
455,165,37,266,11,338,484,83,81,90,2
393,357,55,415,199,17,84,93,29,295,1
445,115,69,80,78,63,337,87,23,460,1
83,135,30,135,483,148,356,74,97,38,1
448,256,78,284,420,163,490,15,69,87,5
303,79,97,247,173,261,194,14,68,370,5
313,192,28,109,284,308,376,71,62,31,1
336,25,82,106,474,170,480,6,89,342,4
159,378,36,214,81,197,319,36,71,254,2
380,113,59,16,497,412,475,68,62,438,2
334,411,61,122,385,473,179,24,86,321,2
245,119,4,431,397,377,66,71,57,0,0
196,180,43,26,451,311,102,38,84,38,5
285,36,82,203,330,135,46,57,45,372,4
409,193,14,424,423,215,481,62,50,321,1
80,196,56,196,277,489,42,14,79,78,2
297,22,43,411,131,320,84,78,15,397,3
300,488,27,385,357,489,147,39,95,381,5
321,32,83,363,213,445,323,8,52,170,5
299,271,49,68,230,314,314,76,5,380,2
45,196,58,114,144,95,181,75,50,355,5
182,305,37,62,437,89,151,94,69,304,5
266,493,9,37,422,339,210,56,96,178,2
28,280,13,129,103,365,478,78,64,111,0
415,491,14,392,226,145,235,63,8,48,3
381,217,24,293,386,288,72,37,91,18,4
243,206,87,42,343,94,478,78,64,485,5
29,58,46,50,465,303,383,92,88,215,0
76,325,8,399,436,48,87,19,28,265,1
259,427,30,99,49,245,119,11,73,464,5
375,153,6,184,480,490,17,92,60,404,2
409,221,85,334,143,111,442,86,7,385,0
239,186,81,117,181,458,161,77,85,432,0
387,244,52,356,319,28,359,83,57,335,5
58,490,89,140,204,325,379,64,46,259,3
41,223,72,120,381,438,211,71,6,4,2
291,230,34,187,139,160,141,52,32,170,4
268,172,88,110,194,411,50,12,61,192,0
423,377,6,216,295,259,242,97,78,473,4
353,493,54,55,275,164,445,28,69,210,1
452,161,86,303,252,232,373,0,2,490,3
154,17,18,381,200,447,40,40,37,303,4
89,240,39,78,166,150,265,84,2,324,0
436,475,21,266,187,146,295,27,16,438,5
46,444,66,166,49,208,202,31,10,446,5
294,374,2,70,20,180,197,88,74,271,3
305,98,12,240,259,99,457,87,77,169,5
339,435,58,130,308,339,106,36,4,346,5
222,478,74,332,14,305,37,80,99,9,5
62,321,94,462,471,382,470,34,33,328,5
67,392,12,193,283,351,60,92,86,181,4
188,232,78,206,117,165,484,85,59,491,0
341,88,43,30,146,119,270,61,60,103,5
12,142,74,339,425,76,250,48,70,253,2
109,139,58,269,456,61,210,11,26,138,2
73,221,30,238,408,417,411,97,81,87,3
468,293,36,225,418,255,348,11,40,45,4
339,165,2,351,398,166,306,58,24,334,4
178,199,9,308,12,97,142,3,30,55,1
95,96,52,319,442,157,470,71,58,386,1
391,334,55,474,203,460,47,47,26,104,3
432,49,83,257,170,320,468,37,76,492,2
431,354,35,48,409,360,291,27,19,264,3
303,115,40,331,101,424,480,83,16,348,5
443,346,43,412,166,296,452,24,13,494,5
66,238,68,280,332,152,438,74,89,80,0
326,153,44,173,356,124,406,40,30,482,4
69,455,32,251,395,331,236,87,10,433,1
274,443,57,119,132,80,379,86,26,30,4
106,258,69,376,487,364,139,85,76,451,5
260,345,18,307,37,401,437,14,33,79,5
233,167,10,275,268,318,191,41,1,92,4
29,224,41,39,53,3,230,30,3,76,3
458,108,99,66,193,138,51,58,42,59,5
250,364,54,322,47,439,433,39,40,3,5
371,159,78,329,61,214,452,8,25,148,0
277,56,58,426,476,356,156,11,48,10,5
370,485,90,360,337,451,204,76,89,73,2
157,277,22,423,470,17,212,41,52,178,5
250,11,84,76,495,21,148,23,98,141,0
90,456,31,427,259,32,23,81,42,29,4
76,47,6,50,223,191,1,12,7,444,1
351,267,65,312,21,232,306,67,14,200,5
407,107,42,331,349,9,68,37,56,152,0
113,400,67,36,42,436,321,48,86,79,2
386,267,10,375,89,33,143,68,78,110,4
348,254,2,40,96,342,293,26,80,302,2
230,442,80,191,78,463,475,74,42,126,0
189,178,1,9,381,86,424,74,30,429,4
496,349,59,421,42,480,421,13,91,267,4
161,442,96,383,269,136,176,50,65,374,5
163,212,64,424,203,38,414,64,44,467,4
281,461,51,228,411,142,427,5,3,120,1
95,49,71,80,276,380,230,45,5,328,1
178,376,71,450,127,191,173,34,16,89,0
89,363,64,43,84,267,145,35,30,69,1
323,54,32,373,310,124,53,37,60,229,1
320,104,41,27,403,404,477,70,71,447,3
25,239,68,268,423,464,193,11,72,82,1
124,4,91,232,181,467,390,44,10,488,5
276,261,81,93,275,253,357,75,39,270,0
220,67,40,89,71,112,53,34,91,379,1
359,305,77,95,125,255,30,3,75,426,4
407,276,70,211,336,23,243,76,8,177,2
38,427,95,452,51,327,283,39,58,265,4
441,336,31,466,130,283,42,88,24,339,0
173,494,14,17,73,206,57,73,73,150,1
382,144,68,162,404,334,304,55,98,367,0
50,35,29,45,476,434,243,45,54,48,3
106,99,26,214,411,353,463,29,57,382,1
228,316,25,70,243,329,399,70,79,277,2
115,177,65,254,409,131,119,6,56,133,5
420,490,25,433,484,152,17,41,2,281,4
176,428,21,28,457,316,20,56,62,113,0
106,95,49,43,315,293,262,14,64,481,4
418,293,46,43,183,55,1,60,99,257,2
484,361,44,206,15,389,106,92,45,271,5
342,77,5,148,5,437,206,18,84,385,2
485,15,53,255,177,261,483,58,34,174,3
152,116,33,123,30,249,301,47,50,339,4
120,122,0,145,102,61,26,33,11,242,4
207,86,45,481,326,39,162,70,86,306,5
234,220,2,178,294,5,13,81,24,161,1
298,225,95,296,286,419,362,60,76,290,2
316,428,94,221,487,233,4,74,82,125,1
21,106,80,301,88,5,415,18,78,155,2
170,295,13,404,304,103,59,35,84,415,1
263,79,47,313,58,131,443,61,19,13,3
85,215,78,479,245,79,8,66,45,156,2
94,362,16,397,454,332,251,16,46,99,1
82,310,48,286,65,299,115,26,76,494,5
241,175,46,408,11,239,133,48,74,97,1
271,321,31,86,87,396,308,95,0,325,2
455,325,10,310,258,194,493,42,2,329,1
75,474,76,118,283,150,203,17,82,279,5
123,271,17,50,426,13,243,55,73,314,2
341,185,88,496,209,67,211,40,16,147,2
222,183,64,453,84,336,390,19,85,441,4
316,460,84,173,332,367,109,66,33,99,1
164,266,82,48,428,444,228,25,70,175,5
5,12,76,423,489,91,138,91,52,228,4
111,53,95,406,336,217,345,43,44,58,4
256,172,62,345,9,167,42,96,79,236,4
357,490,54,275,92,441,20,21,13,336,2
393,44,2,259,75,192,35,94,13,452,0
243,33,73,323,251,323,106,2,94,489,3
207,201,1,230,295,287,203,26,42,315,5
425,149,34,108,252,56,498,52,27,96,4
62,277,83,341,411,70,94,29,61,235,4
221,380,84,319,128,237,184,40,2,337,3
36,354,51,117,47,92,39,92,19,191,1
334,373,50,442,98,379,25,9,81,275,3
269,479,27,412,190,346,433,53,63,133,0
131,39,89,189,311,405,335,1,91,274,4
471,430,43,449,242,169,430,53,70,219,3
138,195,19,468,237,137,52,74,30,305,3
489,474,21,415,20,62,132,56,51,60,0
473,76,53,445,258,351,117,55,67,93,5
242,202,12,428,262,380,485,43,30,364,4
333,16,23,337,428,239,367,40,34,322,3
42,49,94,350,15,409,294,51,73,361,2
100,460,95,441,131,480,302,96,86,130,0
286,402,82,279,250,46,455,20,33,368,5
125,471,53,354,136,14,380,6,47,252,1
407,281,75,318,88,334,88,1,21,349,2
29,265,28,198,35,447,131,6,21,423,5
425,151,74,273,395,283,197,81,86,323,2
498,414,42,118,331,151,390,82,29,117,2
34,10,99,345,397,356,272,79,29,16,1
346,460,97,317,24,223,448,59,53,192,4
127,389,62,347,224,268,420,93,98,423,5
315,138,39,471,351,116,43,2,66,361,1
303,286,95,234,210,268,230,1,28,356,5
104,79,47,135,121,499,127,12,42,126,0
